iShares Russell 3000 ETF
Fund Holdings as of,"Jun 30, 2020"
Inception Date,"May 22, 2000"
Shares Outstanding,"51,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CVX","CHEVRON CORP","Equity","0.55","89.23","569,977.00","50,859,047.71","50,859,047.71","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"CRM","SALESFORCE.COM INC","Equity","0.53","187.33","264,049.00","49,464,299.17","49,464,299.17","Information Technology","2310525","US79466L3024","New York Stock Exchange Inc."
"TSLA","TESLA INC","Equity","0.52","1,079.81","45,085.00","48,683,233.85","48,683,233.85","Consumer Discretionary","B616C79","US88160R1014","NASDAQ"
"ABT","ABBOTT LABORATORIES","Equity","0.52","91.43","526,990.00","48,182,695.70","48,182,695.70","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.47","362.34","120,411.00","43,629,721.74","43,629,721.74","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.45","235.86","179,461.00","42,327,671.46","42,327,671.46","Health Care","2023607","US0311621009","NASDAQ"
"LLY","ELI LILLY","Equity","0.45","164.18","256,809.00","42,162,901.62","42,162,901.62","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.45","184.47","226,967.00","41,868,602.49","41,868,602.49","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC CLASS A","Equity","0.45","214.72","194,331.00","41,726,752.32","41,726,752.32","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.44","303.21","134,536.00","40,792,660.56","40,792,660.56","Consumer Staples","2701271","US22160K1051","NASDAQ"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.44","58.80","690,252.00","40,586,817.60","40,586,817.60","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"AVGO","BROADCOM INC","Equity","0.40","315.61","118,870.00","37,516,560.70","37,516,560.70","Information Technology","BDZ78H9","US11135F1012","NASDAQ"
"MDT","MEDTRONIC PLC","Equity","0.40","91.70","408,958.00","37,501,448.60","37,501,448.60","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.39","98.05","369,301.00","36,209,963.05","36,209,963.05","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.38","240.17","149,203.00","35,834,084.51","35,834,084.51","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENT INC","Equity","0.38","126.97","279,859.00","35,533,697.23","35,533,697.23","Information Technology","2885409","US8825081040","NASDAQ"
"UNP","UNION PACIFIC CORP","Equity","0.38","169.07","206,977.00","34,993,601.39","34,993,601.39","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.37","258.54","134,479.00","34,768,200.66","34,768,200.66","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"LIN","LINDE PLC","Equity","0.36","212.11","160,135.00","33,966,234.85","33,966,234.85","Materials","BZ12WP8","IE00BZ12WP82","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.36","176.83","190,863.00","33,750,304.29","33,750,304.29","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.36","55.27","601,739.00","33,258,114.53","33,258,114.53","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.36","70.06","474,397.00","33,236,253.82","33,236,253.82","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.35","120.77","270,859.00","32,711,641.43","32,711,641.43","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.35","51.10","634,806.00","32,438,586.60","32,438,586.60","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.34","91.21","343,127.00","31,296,613.67","31,296,613.67","Information Technology","2714923","US7475251036","NASDAQ"
"LOW","LOWES COMPANIES INC","Equity","0.33","135.12","230,429.00","31,135,566.48","31,135,566.48","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.33","144.59","214,067.00","30,951,947.53","30,951,947.53","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.32","183.30","163,036.00","29,884,498.80","29,884,498.80","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.32","76.94","382,814.00","29,453,709.16","29,453,709.16","Health Care","2369174","US3755581036","NASDAQ"
"WFC","WELLS FARGO","Equity","0.31","25.60","1,146,546.00","29,351,577.60","29,351,577.60","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.30","364.92","75,439.00","27,529,199.88","27,529,199.88","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"RTX","RAYTHEON TECHNOLOGIES CORP","Equity","0.29","61.62","434,582.00","26,778,942.84","26,778,942.84","Industrials","BM5M5Y3","US75513E1010","New York Stock Exchange Inc."
"MMM","3M","Equity","0.29","155.99","171,319.00","26,724,050.81","26,724,050.81","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.28","73.59","356,328.00","26,222,177.52","26,222,177.52","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"CVS","CVS HEALTH CORP","Equity","0.28","64.97","399,872.00","25,979,683.84","25,979,683.84","Health Care","2577609","US1266501006","New York Stock Exchange Inc."
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.27","134.09","187,865.00","25,190,817.85","25,190,817.85","Information Technology","2769796","US31620M1062","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","0.26","544.09","44,869.00","24,412,774.21","24,412,774.21","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","0.26","329.48","73,404.00","24,185,149.92","24,185,149.92","Financials","BYV2325","US78409V1044","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.26","111.18","215,231.00","23,929,382.58","23,929,382.58","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"NOW","SERVICENOW INC","Equity","0.25","405.06","57,931.00","23,465,530.86","23,465,530.86","Information Technology","B80NXX8","US81762P1021","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.25","510.04","45,595.00","23,255,273.80","23,255,273.80","Communication","BZ6VT82","US16119P1084","NASDAQ"
"VRTX","VERTEX PHARMACEUTICALS INC","Equity","0.25","290.31","79,121.00","22,969,617.51","22,969,617.51","Health Care","2931034","US92532F1003","NASDAQ"
"INTU","INTUIT INC","Equity","0.24","296.19","76,741.00","22,729,916.79","22,729,916.79","Information Technology","2459020","US4612021034","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","0.24","39.25","566,942.00","22,252,473.50","22,252,473.50","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.24","51.13","430,461.00","22,009,470.93","22,009,470.93","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.23","167.35","126,650.00","21,194,877.50","21,194,877.50","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"PLD","PROLOGIS REIT INC","Equity","0.22","93.33","224,357.00","20,939,238.81","20,939,238.81","Real Estate","B44WZD7","US74340W1036","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.22","126.50","165,190.00","20,896,535.00","20,896,535.00","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","0.22","81.18","255,581.00","20,748,065.58","20,748,065.58","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"CI","CIGNA CORP","Equity","0.22","187.65","110,327.00","20,702,861.55","20,702,861.55","Health Care","BHJ0775","US1255231003","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.22","262.98","76,929.00","20,230,788.42","20,230,788.42","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.22","569.83","35,337.00","20,136,082.71","20,136,082.71","Health Care","2871301","US46120E6023","NASDAQ"
"GS","GOLDMAN SACHS GROUP INC","Equity","0.21","197.62","100,973.00","19,954,284.26","19,954,284.26","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"ZTS","ZOETIS INC CLASS A","Equity","0.21","137.04","144,895.00","19,856,410.80","19,856,410.80","Health Care","B95WG16","US98978V1035","New York Stock Exchange Inc."
"BKNG","BOOKING HOLDINGS INC","Equity","0.21","1,592.34","12,456.00","19,834,187.04","19,834,187.04","Consumer Discretionary","BDRXDB4","US09857L1089","NASDAQ"
"BDX","BECTON DICKINSON","Equity","0.21","239.27","82,250.00","19,679,957.50","19,679,957.50","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.21","148.89","131,003.00","19,505,036.67","19,505,036.67","Information Technology","2065308","US0530151036","NASDAQ"
"SYK","STRYKER CORP","Equity","0.20","180.19","105,752.00","19,055,452.88","19,055,452.88","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.20","95.20","199,329.00","18,976,120.80","18,976,120.80","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.20","73.26","256,863.00","18,817,783.38","18,817,783.38","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"EQIX","EQUINIX REIT INC","Equity","0.20","702.30","26,790.00","18,814,617.00","18,814,617.00","Real Estate","BVLZX12","US29444U7000","NASDAQ"
"AMD","ADVANCED MICRO DEVICES INC","Equity","0.20","52.61","355,463.00","18,700,908.43","18,700,908.43","Information Technology","2007849","US0079031078","NASDAQ"
"TJX","TJX INC","Equity","0.20","50.56","365,252.00","18,467,141.12","18,467,141.12","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"REGN","REGENERON PHARMACEUTICALS INC","Equity","0.20","623.65","29,475.00","18,382,083.75","18,382,083.75","Health Care","2730190","US75886F1075","NASDAQ"
"TGT","TARGET CORP","Equity","0.20","119.93","152,342.00","18,270,376.06","18,270,376.06","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","0.19","6.83","2,649,121.00","18,093,496.43","18,093,496.43","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.19","79.89","224,518.00","17,936,743.02","17,936,743.02","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.19","75.90","233,676.00","17,736,008.40","17,736,008.40","Communication","2575818","US00507V1098","NASDAQ"
"CME","CME GROUP INC CLASS A","Equity","0.19","162.54","108,181.00","17,583,739.74","17,583,739.74","Financials","2965839","US12572Q1058","NASDAQ"
"MU","MICRON TECHNOLOGY INC","Equity","0.19","51.52","339,485.00","17,490,267.20","17,490,267.20","Information Technology","2588184","US5951121038","NASDAQ"
"CB","CHUBB LTD","Equity","0.19","126.62","136,998.00","17,346,686.76","17,346,686.76","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"AMAT","APPLIED MATERIAL INC","Equity","0.18","60.45","279,286.00","16,882,838.70","16,882,838.70","Information Technology","2046552","US0382221051","NASDAQ"
"TMUS","T MOBILE US INC","Equity","0.18","104.15","161,611.00","16,831,785.65","16,831,785.65","Communication","B94Q9V0","US8725901040","NASDAQ"
"ITW","ILLINOIS TOOL INC","Equity","0.18","174.85","95,933.00","16,773,885.05","16,773,885.05","Industrials","2457552","US4523081093","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.18","51.85","320,753.00","16,631,043.05","16,631,043.05","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"FISV","FISERV INC","Equity","0.18","97.62","170,096.00","16,604,771.52","16,604,771.52","Information Technology","2342034","US3377381088","NASDAQ"
"ILMN","ILLUMINA INC","Equity","0.18","370.35","44,717.00","16,560,940.95","16,560,940.95","Health Care","2613990","US4523271090","NASDAQ"
"MMC","MARSH & MCLENNAN INC","Equity","0.18","107.37","154,218.00","16,558,386.66","16,558,386.66","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"APD","AIR PRODUCTS AND CHEMICALS INC","Equity","0.17","241.46","67,541.00","16,308,449.86","16,308,449.86","Materials","2011602","US0091581068","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.17","48.30","336,087.00","16,233,002.10","16,233,002.10","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"CSX","CSX CORP","Equity","0.17","69.74","232,446.00","16,210,784.04","16,210,784.04","Industrials","2160753","US1264081035","NASDAQ"
"ADSK","AUTODESK INC","Equity","0.17","239.19","66,830.00","15,985,067.70","15,985,067.70","Information Technology","2065159","US0527691069","NASDAQ"
"HUM","HUMANA INC","Equity","0.17","387.75","40,278.00","15,617,794.50","15,617,794.50","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"TFC","TRUIST FINANCIAL CORP","Equity","0.17","37.55","411,003.00","15,433,162.65","15,433,162.65","Financials","BKP7287","US89832Q1094","New York Stock Exchange Inc."
"GPN","GLOBAL PAYMENTS INC","Equity","0.17","169.62","90,717.00","15,387,417.54","15,387,417.54","Information Technology","2712013","US37940X1028","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","0.16","198.95","76,932.00","15,305,621.40","15,305,621.40","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.16","36.82","414,228.00","15,251,874.96","15,251,874.96","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"NEM","NEWMONT","Equity","0.16","61.74","244,646.00","15,104,444.04","15,104,444.04","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.16","91.60","164,556.00","15,073,329.60","15,073,329.60","Financials","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.16","35.11","428,534.00","15,045,828.74","15,045,828.74","Health Care","2113434","US1011371077","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","0.16","307.44","47,612.00","14,637,833.28","14,637,833.28","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.16","141.35","103,488.00","14,628,028.80","14,628,028.80","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"DG","DOLLAR GENERAL CORP","Equity","0.16","190.51","76,696.00","14,611,354.96","14,611,354.96","Consumer Discretionary","B5B1S13","US2566771059","New York Stock Exchange Inc."
"SHW","SHERWIN WILLIAMS","Equity","0.16","577.85","25,109.00","14,509,235.65","14,509,235.65","Materials","2804211","US8243481061","New York Stock Exchange Inc."
"LRCX","LAM RESEARCH CORP","Equity","0.15","323.46","44,403.00","14,362,594.38","14,362,594.38","Information Technology","2502247","US5128071082","NASDAQ"
"PGR","PROGRESSIVE CORP","Equity","0.15","80.11","178,910.00","14,332,480.10","14,332,480.10","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"ADI","ANALOG DEVICES INC","Equity","0.15","122.64","112,799.00","13,833,669.36","13,833,669.36","Information Technology","2032067","US0326541051","NASDAQ"
"COP","CONOCOPHILLIPS","Equity","0.15","42.02","327,353.00","13,755,373.06","13,755,373.06","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"NSC","NORFOLK SOUTHERN CORP","Equity","0.15","175.57","78,007.00","13,695,688.99","13,695,688.99","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","0.15","1.00","13,675,000.00","13,675,000.00","13,675,000.00","Cash and/or Derivatives","-","US0669224778","-"
"WM","WASTE MANAGEMENT INC","Equity","0.15","105.91","128,663.00","13,626,698.33","13,626,698.33","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.15","105.21","129,245.00","13,597,866.45","13,597,866.45","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"MCO","MOODYS CORP","Equity","0.15","274.73","49,492.00","13,596,937.16","13,596,937.16","Financials","2252058","US6153691059","New York Stock Exchange Inc."
"DE","DEERE","Equity","0.14","157.15","85,940.00","13,505,471.00","13,505,471.00","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
"AON","AON PLC CLASS A","Equity","0.14","192.60","69,873.00","13,457,539.80","13,457,539.80","Financials","BLP1HW5","IE00BLP1HW54","New York Stock Exchange Inc."
"BAX","BAXTER INTERNATIONAL INC","Equity","0.14","86.10","155,170.00","13,360,137.00","13,360,137.00","Health Care","2085102","US0718131099","New York Stock Exchange Inc."
"BIIB","BIOGEN INC","Equity","0.14","267.55","49,560.00","13,259,778.00","13,259,778.00","Health Care","2455965","US09062X1037","NASDAQ"
"EW","EDWARDS LIFESCIENCES CORP","Equity","0.14","69.11","187,925.00","12,987,496.75","12,987,496.75","Health Care","2567116","US28176E1082","New York Stock Exchange Inc."
"UBER","UBER TECHNOLOGIES INC","Equity","0.14","31.08","415,647.00","12,918,308.76","12,918,308.76","Industrials","BK6N347","US90353T1007","New York Stock Exchange Inc."
"ZM","ZOOM VIDEO COMMUNICATIONS INC CLAS","Equity","0.14","253.54","50,907.00","12,906,960.78","12,906,960.78","Information Technology","BGSP7M9","US98980L1017","NASDAQ"
"EL","ESTEE LAUDER INC CLASS A","Equity","0.14","188.68","67,143.00","12,668,541.24","12,668,541.24","Consumer Staples","2320524","US5184391044","New York Stock Exchange Inc."
"ROP","ROPER TECHNOLOGIES INC","Equity","0.13","388.26","31,552.00","12,250,379.52","12,250,379.52","Industrials","2749602","US7766961061","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.13","79.64","151,610.00","12,074,220.40","12,074,220.40","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","0.13","33.74","354,067.00","11,946,220.58","11,946,220.58","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"DD","DUPONT DE NEMOURS INC","Equity","0.13","53.13","223,976.00","11,899,844.88","11,899,844.88","Materials","BK0VN47","US26614N1028","New York Stock Exchange Inc."
"DLR","DIGITAL REALTY TRUST REIT INC","Equity","0.12","142.11","81,397.00","11,567,327.67","11,567,327.67","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"SQ","SQUARE INC CLASS A","Equity","0.12","104.94","110,067.00","11,550,430.98","11,550,430.98","Information Technology","BYNZGK1","US8522341036","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.12","149.46","77,275.00","11,549,521.50","11,549,521.50","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"EA","ELECTRONIC ARTS INC","Equity","0.12","132.05","86,923.00","11,478,182.15","11,478,182.15","Communication","2310194","US2855121099","NASDAQ"
"GIS","GENERAL MILLS INC","Equity","0.12","61.65","184,877.00","11,397,667.05","11,397,667.05","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"DXCM","DEXCOM INC","Equity","0.12","405.40","27,822.00","11,279,038.80","11,279,038.80","Health Care","B0796X4","US2521311074","NASDAQ"
"EMR","EMERSON ELECTRIC","Equity","0.12","62.03","181,340.00","11,248,520.20","11,248,520.20","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"LHX","L3HARRIS TECHNOLOGIES INC","Equity","0.12","169.67","65,620.00","11,133,745.40","11,133,745.40","Industrials","BK9DTN5","US5024311095","New York Stock Exchange Inc."
"CNC","CENTENE CORP","Equity","0.12","63.55","174,980.00","11,119,979.00","11,119,979.00","Health Care","2807061","US15135B1017","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.12","36.29","297,653.00","10,801,827.37","10,801,827.37","Utilities","2670519","US30161N1019","NASDAQ"
"LULU","LULULEMON ATHLETICA INC","Equity","0.12","312.01","34,588.00","10,791,801.88","10,791,801.88","Consumer Discretionary","B23FN39","US5500211090","NASDAQ"
"EBAY","EBAY INC","Equity","0.11","52.45","203,319.00","10,664,081.55","10,664,081.55","Consumer Discretionary","2293819","US2786421030","NASDAQ"
"ETN","EATON PLC","Equity","0.11","87.48","121,866.00","10,660,837.68","10,660,837.68","Industrials","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","0.11","117.23","89,268.00","10,464,887.64","10,464,887.64","Utilities","2138158","US8168511090","New York Stock Exchange Inc."
"SPOT","SPOTIFY TECHNOLOGY SA","Equity","0.11","258.19","40,054.00","10,341,542.26","10,341,542.26","Communication","BFZ1K46","LU1778762911","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.11","140.22","73,626.00","10,323,837.72","10,323,837.72","Industrials","2142784","US31428X1063","New York Stock Exchange Inc."
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.11","297.92","33,662.00","10,028,583.04","10,028,583.04","Real Estate","BZ6TS23","US78410G1040","NASDAQ"
"XEL","XCEL ENERGY INC","Equity","0.11","62.50","160,020.00","10,001,250.00","10,001,250.00","Utilities","2614807","US98389B1008","NASDAQ"
"WDAY","WORKDAY INC CLASS A","Equity","0.11","187.36","52,241.00","9,787,873.76","9,787,873.76","Information Technology","B8K6ZD1","US98138H1014","NASDAQ"
"GM","GENERAL MOTORS","Equity","0.10","25.30","381,567.00","9,653,645.10","9,653,645.10","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
